Age,Sex,Job,Housing,Savings account,Checking account,Credit amount,Duration,Purpose,description,target
67,male,2,own,unknown,little,1169,6,radio/TV,"""""""

        The customer is a 67-year-old male with a skilled occupation, who owns his residence. He has a limited current account balance, but no information is available regarding his savings account. He is requesting a €1,169 loan for a period of 6 months, with the purpose of purchasing a radio or TV.",good risk
22,female,2,own,little,moderate,5951,48,radio/TV,"""""""

        This 22-year-old female customer is a skilled worker who owns her residence. She has a moderate current account and a small savings account, and is seeking a €5,951 loan to be repaid over 48 months, which she intends to use for purchasing a radio or TV.",good risk
49,male,1,own,little,unknown,2096,12,education,"""""""

customer_description = ""The customer is a 49-year-old male, employed in an unskilled capacity and residing in his own home. He has a limited savings account and has requested a €2,096 loan for educational purposes, to be repaid over a 12-month period. No information is available regarding his checking account.""",bad risk
45,male,2,free,little,little,7882,42,furniture/equipment,"""""""

        The 45-year-old male customer, employed in a skilled profession, is a homeowner with a free residence. He has limited savings and current accounts, and is seeking a €7,882 loan to finance furniture and equipment, which he intends to repay over 42 months.",good risk
53,male,2,free,little,little,4870,24,car,"""""""

customer_description = ""This 53-year-old male customer is a skilled worker who owns his residence. He has limited savings and current accounts, and is seeking a €4,870 loan to purchase a car, which he intends to repay over a 24-month period.""",good risk
35,male,1,free,unknown,unknown,9055,36,education,"""""""

    This 35-year-old male customer is an unskilled worker and resident, who owns his home free of mortgage. He has requested a €9,055 loan for educational purposes, to be repaid over 36 months. No information is available regarding his savings or checking accounts.",bad risk
53,male,2,own,quite rich,unknown,2835,24,furniture/equipment,"""""""

        The customer is a 53-year-old male with a skilled occupation, who owns his residence. He has a substantial savings account, although no information is available about his checking account. He is seeking a €2,835 loan to be repaid over 24 months, with the purpose of purchasing furniture or equipment.",good risk
35,male,3,rent,little,moderate,6948,36,car,"""""""

description = ""The customer is a 35-year-old male with a highly skilled occupation, currently renting his residence. He has a moderate current account balance and a relatively small savings account, and is seeking a €6,948 loan to finance a car purchase, with a repayment term of 36 months.""",good risk
61,male,1,own,rich,unknown,3059,12,radio/TV,"""""""

        This 61-year-old male customer, who is an unskilled worker and resident, owns his home and has a rich savings account. He is seeking a €3,059 loan for 12 months to purchase a radio or TV, but no information is available regarding his checking account.",bad risk
28,male,3,own,little,moderate,5234,30,car,"""""""

        This 28-year-old male customer, classified as highly skilled, is a homeowner with a moderate current account balance and limited savings. He is seeking a €5,234 loan to finance a car purchase, which he intends to repay over 30 months.",good risk
25,female,2,rent,little,moderate,1295,12,car,"""""""

        This 25-year-old female customer is a skilled worker who rents her accommodation. She has a moderate current account and a small savings account, and is seeking a €1,295 loan to purchase a car, which she intends to repay over 12 months.",good risk
24,female,2,rent,little,little,4308,48,business,"""""""

customer_description = ""This 24-year-old female customer is a skilled worker who rents her residence. She has limited savings and checking accounts, and is seeking a €4,308 loan for business purposes, to be repaid over 48 months.""",bad risk
22,female,2,own,little,moderate,1567,12,radio/TV,"""""""

        This 22-year-old female customer is a skilled worker who owns her residence. She has a moderate current account and a small savings account, and is seeking a €1,567 loan for 12 months to purchase a radio or TV.",good risk
60,male,1,own,little,little,1199,24,car,"""""""

        This 60-year-old male customer is a resident with unskilled work, owning his residence. He has limited savings and checking accounts, and is seeking a €1,199 loan for 24 months to purchase a car.",bad risk
28,female,2,rent,little,little,1403,15,car,"""""""

customer_description = ""This 28-year-old female customer, classified as skilled, currently rents her residence. She has limited savings and checking accounts, and is seeking a €1,403 loan to finance a car purchase, with a repayment period of 15 months.""",good risk
32,female,1,own,moderate,little,1282,24,radio/TV,"""""""

customer_description = ""The customer is a 32-year-old female who is an unskilled worker and resident, owning her home. She has a moderate savings account and a small current account, and is seeking a €1,282 loan to purchase a radio or TV, which she intends to repay over 24 months.""",bad risk
53,male,2,own,unknown,unknown,2424,24,radio/TV,"""""""

description = ""The customer is a 53-year-old male with a skilled occupation, who owns his residence. He has requested a loan of €2,424 to be repaid over 24 months, with the purpose of purchasing a radio or TV, although no information is available regarding his savings or checking account history.""",good risk
25,male,2,own,unknown,little,8072,30,business,"""""""

        The customer is a 25-year-old male with a skilled occupation, who owns his residence. He has a limited current account balance, and no information is available regarding his savings account. He is seeking a €8,072 loan for business purposes, to be repaid over 30 months.",good risk
44,female,3,free,little,moderate,12579,24,car,"""""""

        This 44-year-old female customer, employed in a highly skilled profession, owns her residence outright. She has a moderate current account balance and a relatively small savings account, and is seeking a €12,579 loan to purchase a car, which she intends to repay over a 24-month period.",good risk
31,male,2,own,quite rich,unknown,3430,24,radio/TV,"""""""

        The customer is a 31-year-old male with a skilled occupation, who owns his residence. He has a substantial savings account, although there is no information available regarding his checking account. He is seeking a €3,430 loan to be repaid over 24 months, with the purpose of purchasing a radio or TV.",good risk
48,male,2,own,little,unknown,2134,9,car,"""""""

        This 48-year-old male customer is a skilled worker who owns his residence. He has a limited savings account and has requested a €2,134 loan for a car, to be repaid over 9 months; however, there is no information available regarding his checking account.",good risk
44,male,2,rent,quite rich,little,2647,6,radio/TV,"""""""

        This 44-year-old male customer, employed in a skilled profession, rents his residence. He has a substantial savings account, but a relatively small current account. He is seeking a €2,647 loan for a period of 6 months to finance a radio/TV purchase.",good risk
48,male,1,rent,little,little,2241,10,car,"""""""

description = ""The customer is a 48-year-old male, employed in an unskilled and resident capacity, who rents his accommodation. He has limited savings and current accounts, and is seeking a €2,241 loan to purchase a car, which he intends to repay over a 10-month period.""",bad risk
44,male,2,own,moderate,moderate,1804,12,car,"""""""

        This 44-year-old male customer is a skilled worker who owns his residence. He has moderate savings and current accounts, and is seeking a €1,804 loan to purchase a car, which he intends to repay over a 12-month period.",good risk
26,male,2,own,unknown,unknown,2069,10,furniture/equipment,"""""""

        This 26-year-old male customer, classified as skilled in his profession, owns his residence. He has requested a loan of €2,069 to be repaid over a 10-month period, with the purpose of purchasing furniture and equipment. No information is available regarding his savings or checking account.",good risk
36,male,1,own,little,little,1374,6,furniture/equipment,"""""""

customer_description = ""The customer is a 36-year-old male who is an unskilled worker and a resident. He owns his home and has limited savings and current accounts. He is seeking a €1,374 loan for a term of 6 months to purchase furniture and equipment.""",bad risk
39,male,1,own,little,unknown,426,6,radio/TV,"""""""

        The customer is a 39-year-old male who works as an unskilled resident and owns his home. He has a small savings account, but there is no information available about his checking account. He is requesting a €426 loan for 6 months to purchase a radio or TV.",bad risk
42,female,2,rent,rich,rich,409,12,radio/TV,"""""""

        The 42-year-old female customer, employed in a skilled profession, rents her residence. She has a rich savings account and a rich current account, and is seeking a €409 loan for 12 months to purchase a radio or TV.",good risk
34,male,2,own,little,moderate,2415,7,radio/TV,"""""""

        This 34-year-old male customer is a skilled worker who owns his residence. He has a moderate current account and a small savings account, and is seeking a €2,415 loan for 7 months to purchase a radio or TV.",good risk
63,male,2,own,little,little,6836,60,business,"""""""

        The customer is a 63-year-old male with a skilled occupation, who owns his residence. He has limited savings and checking accounts, and is seeking a €6,836 loan for business purposes, to be repaid over a 60-month period.",good risk
36,male,2,own,rich,moderate,1913,18,business,"""""""

customer_description = ""This 36-year-old male customer is a skilled worker who owns his residence. He has a rich savings account and a moderate current account, and is seeking a €1,913 loan for business purposes, to be repaid over 18 months.""",good risk
27,male,2,own,little,little,4020,24,furniture/equipment,"""""""

description = ""This 27-year-old male customer, classified as skilled, is a homeowner. He has limited savings and current accounts, and is seeking a €4,020 loan to purchase furniture and equipment, which he intends to repay over a 24-month period.""",good risk
30,male,2,own,moderate,moderate,5866,18,car,"""""""

description = ""This 30-year-old male customer is a skilled worker who owns his residence. He has moderate savings and current accounts, and is seeking a €5,866 loan to purchase a car, which he intends to repay over 18 months.""

# Output: description
print(description)",good risk
57,male,1,rent,unknown,unknown,1264,12,business,"""""""

        The customer is a 57-year-old male who is an unskilled worker and a resident. He rents his home and has requested a loan of €1,264 to be repaid over 12 months for business purposes. No information is available regarding his savings or checking account.",bad risk
